cd_by_year,Nrst City,Nrst Country,mag,,,,,,,,,,,,,,,
2013,ada,us,3,,,,,,,,,,,,,,,
2013,alamo,us,2.8,,,,,,,,,,,,,,,
2013,alpine,us,3.36,,,,,,,,,,,,,,,
2013,altamont,us,2.65,,,,,,,,,,,,,,Earthquake Magnitude Classes,
2013,american canyon,us,2.7,,,,,,,,,,,,,,Class,Magnitude
2013,anaconda,us,2.5,,,,,,,,,,,,,,Great,8 or more
2013,anacortes,us,3.43,,,,,,,,,,,,,,Major,7 - 7.9
2013,anderson,us,2.82,,,,,,,,,,,,,,Strong,6 - 6.9
2013,arcata,us,3.78,,,,,,,,,,,,,,Moderate,5 - 5.9
2013,ardmore,us,3.5,,,,,,,,,,,,,,Light,4 - 4.9
2013,arvin,us,2.79,,,,,,,,,,,,,,Minor,3 -3.9
2013,ashland,us,3.1,,,,,,,,,,,,,,,
2013,atascadero,us,2.81,,,,,,,,,,,,,,,
2013,athens,us,3.5,,,,,,,,,,,,,,,
2013,avenal,us,3.27,,,,,,,,,,,,,,,
2013,azle,us,3.6,,,,,,,,,,,,,,,
2013,baker city,us,2.66,,,,,,,,,,,,,,,
2013,banning,us,3.19,,,,,,,,,,,,,,,
2013,barstow,us,3.3,,,,,,,,,,,,,,,
2013,batesville,us,2.9,,,,,,,,,,,,,,,
2013,bay point,us,2.61,,,,,,,,,,,,,,,
2013,beaumont,us,2.85,,,,,,,,,,,,,,,
2013,belgrade,us,2.7,,,,,,,,,,,,,,,
2013,belle fourche,us,2.6,,,,,,,,,,,,,,,
2013,bend,us,2.69,,,,,,,,,,,,,,,
2013,berkeley,us,3.15,,,,,,,,,,,,,,,
2013,billings,us,2.8,,,,,,,,,,,,,,,
2013,blytheville,us,2.8,,,,,,,,,,,,,,,
2013,boone,us,2.9,,,,,,,,,,,,,,,
2013,boulder city,us,2.9,,,,,,,,,,,,,,,
2013,bozeman,us,3.4,,,,,,,,,,,,,,,
2013,brawley,us,3.92,,,,,,,,,,,,,,,
2013,bremerton,us,3.47,,,,,,,,,,,,,,,
2013,brentwood,us,2.68,,,,,,,,,,,,,,,
2013,brigham city,us,3.1,,,,,,,,,,,,,,,
2013,burien,us,2.54,,,,,,,,,,,,,,,
2013,butte,us,2.7,,,,,,,,,,,,,,,
2013,calexico,us,2.77,,,,,,,,,,,,,,,
2013,canon city,us,2.6,,,,,,,,,,,,,,,
2013,cape girardeau,us,2.6,,,,,,,,,,,,,,,
2013,carpinteria,us,3.63,,,,,,,,,,,,,,,
2013,carson,us,2.84,,,,,,,,,,,,,,,
2013,carson city,us,3.3,,,,,,,,,,,,,,,
2013,casper,us,2.5,,,,,,,,,,,,,,,
2013,cedar city,us,3.7,,,,,,,,,,,,,,,
2013,central point,us,2.75,,,,,,,,,,,,,,,
2013,centralia,us,2.65,,,,,,,,,,,,,,,
2013,chickasha,us,2.8,,,,,,,,,,,,,,,
2013,chico,us,2.8,,,,,,,,,,,,,,,
2013,chino hills,us,3,,,,,,,,,,,,,,,
2013,choctaw,us,4.4,,,,,,,,,,,,,,,
